predictor,outcome,rho,p_value,n
Eigen-PC-raw_coding_rankscore,Aβ38 [%],-0.36577202881965626,0.028247511477429713,36
SIFT_converted_rankscore,Aβ40 [%],0.08220777917216564,0.6336132848117882,36
SIFT4G_converted_rankscore,Aβ40 [%],0.08486061854673008,0.6226601977136625,36
Polyphen2_HDIV_rankscore,Aβ40 [%],0.0004250518758471613,0.9980369644851814,36
Polyphen2_HVAR_rankscore,Aβ40 [%],-0.1390257406117554,0.41871424782817157,36
MutationTaster_rankscore,Aβ40 [%],-0.3936481963589638,0.017533157026360893,36
MutationAssessor_rankscore,Aβ40 [%],-0.12681859568118295,0.46109716248907806,36
PROVEAN_converted_rankscore,Aβ40 [%],0.0015446003346634059,0.992866589171116,36
VEST4_rankscore,Aβ40 [%],-0.19285484749687626,0.25978017762548616,36
MetaSVM_rankscore,Aβ40 [%],-0.0906165529669198,0.5991698690993579,36
MetaLR_rankscore,Aβ40 [%],-0.08651989471853294,0.6158494832011701,36
MetaRNN_rankscore,Aβ40 [%],-0.13668833286557916,0.4266555471625507,36
M-CAP_rankscore,Aβ40 [%],0.028853561244509385,0.8693102511809347,35
REVEL_rankscore,Aβ40 [%],-0.08826938593195965,0.6087025408370332,36
MutPred2_rankscore,Aβ40 [%],-0.14170796090866541,0.40970469541680943,36
MVP_rankscore,Aβ40 [%],-0.294558443190307,0.08585382732026005,35
gMVP_rankscore,Aβ40 [%],-0.27028766385848985,0.11086251347673347,36
MPC_rankscore,Aβ40 [%],0.05753265987844998,0.7389156666724666,36
PrimateAI_rankscore,Aβ40 [%],-0.36578930508848967,0.028239497214411605,36
DEOGEN2_rankscore,Aβ40 [%],-0.14366632456839823,0.40319671899653964,36
BayesDel_addAF_rankscore,Aβ40 [%],-0.07928438139849035,0.6457728235591544,36
BayesDel_noAF_rankscore,Aβ40 [%],-0.05495849165122627,0.7502162935548622,36
ClinPred_rankscore,Aβ40 [%],0.039387308533916844,0.8195903180245714,36
LIST-S2_rankscore,Aβ40 [%],0.09962672158578968,0.5631927712978132,36
VARITY_R_rankscore,Aβ40 [%],-0.1639745160741505,0.3392669302479011,36
VARITY_ER_rankscore,Aβ40 [%],-0.17259797963534995,0.3141172102608729,36
VARITY_R_LOO_rankscore,Aβ40 [%],-0.13398545622699426,0.43594217063930363,36
VARITY_ER_LOO_rankscore,Aβ40 [%],-0.15509363569022871,0.36641822396460755,36
ESM1b_converted_rankscore,Aβ40 [%],-0.17993435908293753,0.2936693745568878,36
AlphaMissense_rankscore,Aβ40 [%],-0.2385734596926213,0.1611389597636717,36
PHACTboost_rankscore,Aβ40 [%],-0.22552616381912294,0.18599671425478734,36
MutFormer_rankscore,Aβ40 [%],-0.18472715598030856,0.28078265178471745,36
MutScore_rankscore,Aβ40 [%],0.07072466247617872,0.68188961235268,36
CADD_raw_rankscore,Aβ40 [%],-0.005920586922614541,0.9726617813251024,36
DANN_rankscore,Aβ40 [%],-0.14762854783127993,0.3902120116465736,36
fathmm-XF_coding_rankscore,Aβ40 [%],-0.10406744754794696,0.5458356189695694,36
Eigen-raw_coding_rankscore,Aβ40 [%],0.0214956879907324,0.9009695749416253,36
Eigen-PC-raw_coding_rankscore,Aβ40 [%],0.04878676717320067,0.7775155148576129,36
SIFT_converted_rankscore,Aβ42 [%],0.12716852743100399,0.45985123704312836,36
SIFT4G_converted_rankscore,Aβ42 [%],0.1039904575066653,0.546134371923179,36
