Predictor,Outcome,rho,p_value,n
Eigen-PC-raw_coding_rankscore,AAO,-0.22219972079749029,0.01749756205549343,114
SIFT_converted_rankscore,Total Activity,-0.1868021517279979,0.036985151506665974,125
SIFT4G_converted_rankscore,Total Activity,-0.17615387977450997,0.04940623212446666,125
Polyphen2_HDIV_rankscore,Total Activity,-0.18553432175177514,0.03831034381014917,125
Polyphen2_HVAR_rankscore,Total Activity,-0.17715043592385357,0.048113464093167656,125
MutationTaster_rankscore,Total Activity,-0.032501265612012546,0.7189819656128842,125
MutationAssessor_rankscore,Total Activity,-0.1564830903670529,0.08138418294340927,125
PROVEAN_converted_rankscore,Total Activity,-0.1987571438701226,0.026278818049354925,125
VEST4_rankscore,Total Activity,-0.19118512415251895,0.03269713261650983,125
MetaSVM_rankscore,Total Activity,0.1421296249907045,0.11384801978945555,125
MetaLR_rankscore,Total Activity,-0.11223828223634565,0.21269199372991054,125
MetaRNN_rankscore,Total Activity,-0.0691575980625769,0.4434646451900599,125
M-CAP_rankscore,Total Activity,-0.16154783874089787,0.0742445607756801,123
REVEL_rankscore,Total Activity,-0.10810902166491577,0.23011079971656745,125
MutPred2_rankscore,Total Activity,-0.277039452602878,0.0017615894054778041,125
MVP_rankscore,Total Activity,-0.06460659146036844,0.475915277205581,124
gMVP_rankscore,Total Activity,-0.31769972510838507,0.0003058348084692184,125
MPC_rankscore,Total Activity,-0.3036472826586779,0.0005765252672041246,125
PrimateAI_rankscore,Total Activity,-0.08176690022832463,0.3646624208077187,125
DEOGEN2_rankscore,Total Activity,-0.06528181705244528,0.46948794991463105,125
BayesDel_addAF_rankscore,Total Activity,-0.15578452259441317,0.08277018165795362,125
BayesDel_noAF_rankscore,Total Activity,-0.14997649597623489,0.09503838535793997,125
ClinPred_rankscore,Total Activity,-0.23124912687036558,0.009466258168073534,125
LIST-S2_rankscore,Total Activity,-0.0774672663414853,0.39050575551956623,125
VARITY_R_rankscore,Total Activity,-0.29131973768267594,0.0009802719785378462,125
VARITY_ER_rankscore,Total Activity,-0.23224589442223947,0.009154247076460259,125
VARITY_R_LOO_rankscore,Total Activity,-0.30559430343853955,0.0005290250612354496,125
VARITY_ER_LOO_rankscore,Total Activity,-0.21948297015408252,0.013920552895157909,125
ESM1b_converted_rankscore,Total Activity,-0.24038055399325334,0.006928764998057443,125
AlphaMissense_rankscore,Total Activity,-0.2751843133280446,0.0018967501282843497,125
PHACTboost_rankscore,Total Activity,-0.20218151112741098,0.02374974299956188,125
MutFormer_rankscore,Total Activity,-0.187388306524173,0.03638563470615425,125
MutScore_rankscore,Total Activity,-0.19824257688124905,0.026678045486381675,125
CADD_raw_rankscore,Total Activity,-0.2736966305195463,0.0020118615397409826,125
DANN_rankscore,Total Activity,-0.043227050397509736,0.6321793551590388,125
fathmm-XF_coding_rankscore,Total Activity,-0.14805597456492628,0.09939765000771841,125
Eigen-raw_coding_rankscore,Total Activity,-0.12782914777299,0.15541835315583352,125
Eigen-PC-raw_coding_rankscore,Total Activity,-0.11554840054810929,0.19942390357742404,125
SIFT_converted_rankscore,Amount of Ab42,-0.037735198526883305,0.6760913415088972,125
SIFT4G_converted_rankscore,Amount of Ab42,-0.027179821202257978,0.763504197349224,125
Polyphen2_HDIV_rankscore,Amount of Ab42,-0.08135778124747543,0.36707501619767535,125
Polyphen2_HVAR_rankscore,Amount of Ab42,-0.05508161308269386,0.54179042028511,125
MutationTaster_rankscore,Amount of Ab42,0.0634400473408746,0.48214045377012194,125
MutationAssessor_rankscore,Amount of Ab42,-0.010770677221479022,0.9051062049479047,125
PROVEAN_converted_rankscore,Amount of Ab42,-0.07730665655555738,0.39149193451596853,125
VEST4_rankscore,Amount of Ab42,-0.06483077558289085,0.4725696239706655,125
MetaSVM_rankscore,Amount of Ab42,0.021128339998735538,0.8150820474179922,125
MetaLR_rankscore,Amount of Ab42,0.03429273731391722,0.7041945751666001,125
MetaRNN_rankscore,Amount of Ab42,0.07733866275888847,0.39129529043482536,125
M-CAP_rankscore,Amount of Ab42,0.008943456461374346,0.921791795244945,123
REVEL_rankscore,Amount of Ab42,0.03681137120919755,0.6835914963462748,125
MutPred2_rankscore,Amount of Ab42,-0.2027343390740907,0.02336166048643205,125
MVP_rankscore,Amount of Ab42,0.0025838695418802103,0.9772782051520116,124
gMVP_rankscore,Amount of Ab42,-0.204574327141227,0.02210891454280246,125
MPC_rankscore,Amount of Ab42,-0.20786504772326825,0.020012029845184826,125
PrimateAI_rankscore,Amount of Ab42,0.005444091304522718,0.9519519467924928,125
DEOGEN2_rankscore,Amount of Ab42,0.08770474434092673,0.33075537640410413,125
BayesDel_addAF_rankscore,Amount of Ab42,-0.019877814428828095,0.8258479788096301,125
BayesDel_noAF_rankscore,Amount of Ab42,-0.022103767430191917,0.8067082387240566,125
ClinPred_rankscore,Amount of Ab42,-0.08202760165098053,0.3631301686464139,125
LIST-S2_rankscore,Amount of Ab42,0.002141432885936158,0.98109075361314,125
VARITY_R_rankscore,Amount of Ab42,-0.1888442213403487,0.034931832201634365,125
VARITY_ER_rankscore,Amount of Ab42,-0.1029553858385219,0.25322496010057816,125
VARITY_R_LOO_rankscore,Amount of Ab42,-0.20635010861640427,0.020955053464125233,125
VARITY_ER_LOO_rankscore,Amount of Ab42,-0.09085672243151827,0.31360336311215514,125
ESM1b_converted_rankscore,Amount of Ab42,-0.16515100316614756,0.06568688625473829,125
AlphaMissense_rankscore,Amount of Ab42,-0.14862573045584185,0.09808826876891964,125
PHACTboost_rankscore,Amount of Ab42,-0.11007315372320911,0.22170429042676315,125
MutFormer_rankscore,Amount of Ab42,-0.05540689331341627,0.5394028509789259,125
MutScore_rankscore,Amount of Ab42,-0.08419166982736401,0.35056513434032066,125
CADD_raw_rankscore,Amount of Ab42,-0.2143537436685353,0.01637526083353759,125
DANN_rankscore,Amount of Ab42,0.027422238882338693,0.7614578330500261,125
fathmm-XF_coding_rankscore,Amount of Ab42,-0.10711608418148381,0.23444473720086764,125
Eigen-raw_coding_rankscore,Amount of Ab42,-0.010445789429167551,0.9079558192828231,125
Eigen-PC-raw_coding_rankscore,Amount of Ab42,-0.014061854345824201,0.876313202687709,125
SIFT_converted_rankscore,Amount of Ab40,-0.18768763248968925,0.03608265400479159,125
SIFT4G_converted_rankscore,Amount of Ab40,-0.18858919735435406,0.035182888324673214,125
Polyphen2_HDIV_rankscore,Amount of Ab40,-0.17302161130855578,0.053658205018488565,125
Polyphen2_HVAR_rankscore,Amount of Ab40,-0.1668635907633038,0.06289806113657143,125
MutationTaster_rankscore,Amount of Ab40,-0.04455690159950825,0.6217287226653807,125
MutationAssessor_rankscore,Amount of Ab40,-0.1523155610878497,0.0899349802987604,125
PROVEAN_converted_rankscore,Amount of Ab40,-0.217688486297148,0.014740150300199517,125
VEST4_rankscore,Amount of Ab40,-0.1958608292190337,0.028593997001296702,125
MetaSVM_rankscore,Amount of Ab40,0.1300008149220856,0.14846039930156785,125
MetaLR_rankscore,Amount of Ab40,-0.10500714432396027,0.2438384105122469,125
MetaRNN_rankscore,Amount of Ab40,-0.07852505558281761,0.3840480241170048,125
M-CAP_rankscore,Amount of Ab40,-0.16010784006097048,0.07689691013461442,123
REVEL_rankscore,Amount of Ab40,-0.11478694277887729,0.20242186637039472,125
MutPred2_rankscore,Amount of Ab40,-0.2897691764583366,0.001046234098274677,125
MVP_rankscore,Amount of Ab40,-0.06777897937068385,0.45447730816582177,124
gMVP_rankscore,Amount of Ab40,-0.326144602261804,0.0002057908343617374,125
MPC_rankscore,Amount of Ab40,-0.3122256696115977,0.00039296592697770825,125
PrimateAI_rankscore,Amount of Ab40,-0.09712010337352905,0.2812674101522138,125
DEOGEN2_rankscore,Amount of Ab40,-0.0768069027315565,0.3945700693364984,125
BayesDel_addAF_rankscore,Amount of Ab40,-0.1556592043069437,0.08302080769966727,125
BayesDel_noAF_rankscore,Amount of Ab40,-0.14568917918864496,0.10498492117791634,125
ClinPred_rankscore,Amount of Ab40,-0.23044885760757525,0.00972350258301686,125
LIST-S2_rankscore,Amount of Ab40,-0.06295330723913663,0.48551456794902204,125
VARITY_R_rankscore,Amount of Ab40,-0.29383370957060745,0.0008813638037334157,125
VARITY_ER_rankscore,Amount of Ab40,-0.23998119756997965,0.007025634164429188,125
VARITY_R_LOO_rankscore,Amount of Ab40,-0.3050454295620658,0.0005420372746511047,125
VARITY_ER_LOO_rankscore,Amount of Ab40,-0.22875411484901806,0.01028867359271277,125
ESM1b_converted_rankscore,Amount of Ab40,-0.23458923986675717,0.008456183882687252,125
AlphaMissense_rankscore,Amount of Ab40,-0.279977693807816,0.0015653263836020335,125
PHACTboost_rankscore,Amount of Ab40,-0.20569424385964694,0.0213750350185426,125
MutFormer_rankscore,Amount of Ab40,-0.19223336713407288,0.03173635058096376,125
MutScore_rankscore,Amount of Ab40,-0.19365966190535572,0.030467545477492565,125
CADD_raw_rankscore,Amount of Ab40,-0.27878480799044325,0.0016424743687081865,125
DANN_rankscore,Amount of Ab40,-0.03595872275216589,0.6905412762845147,125
fathmm-XF_coding_rankscore,Amount of Ab40,-0.14708390194494317,0.10166337020816821,125
Eigen-raw_coding_rankscore,Amount of Ab40,-0.11787225945001185,0.19047292902505863,125
Eigen-PC-raw_coding_rankscore,Amount of Ab40,-0.1058614964608678,0.24000195175786185,125
SIFT_converted_rankscore,Ab42/Ab40 ratio,0.3312224610048543,0.0011825712209018976,93
SIFT4G_converted_rankscore,Ab42/Ab40 ratio,0.3865551006825928,0.00012956784757827845,93
Polyphen2_HDIV_rankscore,Ab42/Ab40 ratio,0.2914705499957685,0.004587610405070627,93
Polyphen2_HVAR_rankscore,Ab42/Ab40 ratio,0.23620403076594673,0.022642237195044285,93
MutationTaster_rankscore,Ab42/Ab40 ratio,0.31179026191652714,0.0023473729611964713,93
MutationAssessor_rankscore,Ab42/Ab40 ratio,0.3270725082729785,0.0013742254983813579,93
PROVEAN_converted_rankscore,Ab42/Ab40 ratio,0.400349162034695,7.000896185222447e-05,93
VEST4_rankscore,Ab42/Ab40 ratio,0.32952930596618507,0.0012576223057154808,93
MetaSVM_rankscore,Ab42/Ab40 ratio,-0.18348726520596348,0.07831711006615513,93
MetaLR_rankscore,Ab42/Ab40 ratio,0.31413628338255767,0.002166017638619067,93
MetaRNN_rankscore,Ab42/Ab40 ratio,0.38627614813046457,0.00013115443631926547,93
M-CAP_rankscore,Ab42/Ab40 ratio,0.4113739196632706,4.196380353336808e-05,93
REVEL_rankscore,Ab42/Ab40 ratio,0.3333171704308691,0.0010953611689296038,93
MutPred2_rankscore,Ab42/Ab40 ratio,0.26831588253253763,0.009311024086606556,93
MVP_rankscore,Ab42/Ab40 ratio,0.18980547215691299,0.0684148056316359,93
gMVP_rankscore,Ab42/Ab40 ratio,0.42438303840529973,2.2407590413347235e-05,93
MPC_rankscore,Ab42/Ab40 ratio,0.323103609444542,0.001583438340234054,93
PrimateAI_rankscore,Ab42/Ab40 ratio,0.17661364924950015,0.09035932458149973,93
DEOGEN2_rankscore,Ab42/Ab40 ratio,0.3852088435498329,0.0001373925809415407,93
BayesDel_addAF_rankscore,Ab42/Ab40 ratio,0.30430306466533374,0.0030212000207828424,93
BayesDel_noAF_rankscore,Ab42/Ab40 ratio,0.2747178144403269,0.007700366308960542,93
ClinPred_rankscore,Ab42/Ab40 ratio,0.40756172436843313,5.0190035359379574e-05,93
LIST-S2_rankscore,Ab42/Ab40 ratio,0.18516114600903533,0.07558828412918672,93
VARITY_R_rankscore,Ab42/Ab40 ratio,0.3317716570678284,0.0011591161015698512,93
VARITY_ER_rankscore,Ab42/Ab40 ratio,0.3450807197636596,0.0007052829064652709,93
VARITY_R_LOO_rankscore,Ab42/Ab40 ratio,0.324535227238817,0.0015048609123578477,93
VARITY_ER_LOO_rankscore,Ab42/Ab40 ratio,0.3447524693384261,0.000714167076610321,93
ESM1b_converted_rankscore,Ab42/Ab40 ratio,0.1907813508314682,0.066979802404242,93
AlphaMissense_rankscore,Ab42/Ab40 ratio,0.4272557380360627,1.9440131816492184e-05,93
PHACTboost_rankscore,Ab42/Ab40 ratio,0.2987615638453536,0.0036266392508357316,93
MutFormer_rankscore,Ab42/Ab40 ratio,0.3147916552214867,0.0021176643246052064,93
MutScore_rankscore,Ab42/Ab40 ratio,0.2938997281195673,0.004244844329081652,93
CADD_raw_rankscore,Ab42/Ab40 ratio,0.28249784585051446,0.006077220464053113,93
DANN_rankscore,Ab42/Ab40 ratio,0.1243136377754364,0.2351349026266593,93
fathmm-XF_coding_rankscore,Ab42/Ab40 ratio,0.11403760719547268,0.2764095593823626,93
Eigen-raw_coding_rankscore,Ab42/Ab40 ratio,0.23944376473396795,0.020798775913595347,93
Eigen-PC-raw_coding_rankscore,Ab42/Ab40 ratio,0.20168004535824052,0.05255038094982822,93
